### Tier-1: Beginner Projects

| Name                         | Short Description                                          | Tier       |
| ----------------------------------------------------------------------------------------- | ---------- |
| [Bin2Dec]                    | Binary-to-Decimal number converter                         | 1-Beginner |
| [Border Radius Previewer]    | Preview how CSS3 border-radius values affect an element    | 1-Beginner |
| [Calculator]                 | Calculator                                                 | 1-Beginner |
| [Christmas Lights]           | Simulate a string of Christmas lights                      | 1-Beginner |
| [Cause Effect App]           | Click list item to display item details                    | 1-Beginner |
| [Color Cycle]                | Cycle a color value through incremental changes            | 1-Beginner |
| [Countdown Timer]            | Event Countdown timer                                      | 1-Beginner |
| [CSV2JSON App]               | CSV to JSON converter                                      | 1-Beginner |
| [Dollars to Cents]           | Convert dollars to cents                                   | 1-Beginner |
| [Dynamic CSS Variables]      | Dynamically change CSS variable settings                   | 1-Beginner |
| [First DB App]               | Your first Database app!                                   | 1-Beginner |
| [Flip Image]                 | Change the orientation of images across two axes           | 1-Beginner |
| [GitHub Status]              | Display Current GitHub Status                              | 1-Beginner |
| [Hello]                      | User native language greeting                              | 1-Beginner |
| [IOT Mailbox Simulator]      | Use callbacks to check your snail mail                     | 1-Beginner |
| [JS Input Validation]        | Script to validate inputs entered by a user using RegEx    | 1-Beginner |
| [JSON2CSV App]               | JSON to CSV converter                                      | 1-Beginner |
| [Key Value]                  | Keyboard Event Values                                      | 1-Beginner |
| [Lorem Ipsum Generator]      | Generate lorem ipsum placeholder text                      | 1-Beginner |
| [Notes App]                  | Create an online note pad                                  | 1-Beginner |
| [Pearson Regression]         | Calculate the correlation coefficient for two sets of data | 1-Beginner |
| [Pomodoro Clock]             | Task timer to aid personal productivity                    | 1-Beginner |
| [Product Landing Page]       | Showcase product details for possible buyers               | 1-Beginner |
| [Quiz App]                   | Test your knowledge by answering questions                 | 1-Beginner |
| [Recipe App]                 | Recipe                                                     | 1-Beginner |
| [Random Meal Generator]      | Generate random meals                                      | 1-Beginner |
| [Random Number Generator]    | Generate random number between range.                      | 1-Beginner |
| [Roman to Decimal Converter] | Convert Roman to Decimal numbers                           | 1-Beginner |
| [Slider Design]              | Display images using a slider control                      | 1-Beginner |
| [Stopwatch App]              | Count time spent on activities                             | 1-Beginner |
| [TrueOrFalse]                | Identify the result of a conditional comparison            | 1-Beginner |
| [Vigenere Cipher]            | Encrypt text using the Vigenere Cypher                     | 1-Beginner |
| [Wind Chill]                 | Calculate the windchill factor from an actual temperature  | 1-Beginner |
| [Word Frequency]             | Calculate word frequency in a block of text                | 1-Beginner |
| [Weather App]                | Get the temperature, weather condition of a city.          | 1-Beginner |
